collectivite,reseau,identifiant
Château-Thierry,Réseau de Château-Thierry,0205C
Ville de Briançon,Réseau de chaleur de Briançon,0506C
SYDED DU LOT,Réseau de Capdenac Gare,1206C
COMMUNAUTE D'AGGLOMERATION DE LA ROCHELLE,PNM ENERGIES,1704C
DIJON METROPOLE,DIJON ENERGIES,2106C
Saint-Brieuc Armor Agglomération,Réseau de chaleur de Brézillet,2208C
Grand Besançon Métropole,Novillars,2518C
Louviers,Louviers Énergie,2702C
BREST METROPOLE,RESEAU DE CHALEUR URBAIN DE BREST METROPOLE,2901C
Toulouse métropole,Mirail,3101C
BORDEAUX METROPOLE,MERIADECK,3303C
BORDEAUX METROPOLE,BORDEAUX BEGLES ENERGIES,3319C
BORDEAUX METROPOLE,RESEAU DE CHALEUR DES HAUTS DE GARONNE,3324C
S3T'ec,REVERTEC,3510C
Grenoble-Alpes Métropole,Réseau principal de Grenoble-Alpes Métropole,3802C
Grenoble Alpes Métropole,GièT R55 -res centre,3820C
Grenoble Alpes Métropole,Pont de Claix Caboisse,3829C
Ville de Blois,Bégon Croix Chevalier,4101C
Ville de Blois,ECO CHALEUR DE BLOIS,4106C
Saint-Etienne Métropole,ABES - Andrézieux-Bouthéon,4211C
Saint-Etienne Métropole,Saint Christo en Jarez,4227C
Saint-Etienne Métropole,La Valla en Gier,4245C
Saint-Etienne Métropole,Saint-Héand,4247C
Orléans Métropole,Réseau de chaleur d'Orléans La Source et Olivet (SOCOS),4501C
SYDED DU LOT,Réseau de Gourdon,4617C
Ville de Chaumont,Réseau de Chaleur de la Ville de Chaumont,5204C
Ville de Laval,Réseau de chaleur urbain Ville de Laval,5302C
Communauté Urbaine de Dunkerque,Arsyel,5920C
COMMUNAUTE D'AGGLOMERATION DU BEAUVAISIS,BCSJ - Chaufferie Bois Saint Jean,6005C
LENS,Réseau de chaleur de Lens,6203C
Clermont Auvergne Métropole,ECLA,6308C
Communauté d'Agglomération Pau Béarn Pyrénées,Réseau de Chaleur du Hameau,6401C
Communauté d'Agglomération Pau Béarn Pyrénées,Réseau de Chaleur Urbain,6403C
Ville de Colmar,Ville de Colmar,6801C
COMMUNE D'YZERON,CHAUFFERIES BOIS COMMUNALES,6924C
La Métropole de Lyon,Plateau Nord,6930C
LE MANS METROPOLE,SYNER'GIE,7203C
Métropole Rouen Normandie,Canteleu,7606C
Le Havre seine métropole,SECGO,7610C
Métropole Rouen Normandie,Rouen Grammont,7614C
Métropole Rouen Normandie,Réseau de Maromme,7615C
Métropole Rouen Normandie,Réseau de Grand-Quevilly,7620C
Ville de Montereau-Fault-Yonne,Réseau de chaleur de Montereau-Fault-Yonne,7715C
SITRU,7811C,7811C
SYNDICAT MIXTE TRIFYL,Réseau de chaleur de Graulhet,8105C
SYNDICAT MIXTE TRIFYL,Réseau de chaleur d’Alban,8106C
SYNDICAT MIXTE TRIFYL,Réseau de chaleur de Lacaune,8112C
SITTOMAT,Beaucaire,8301C
Grand Poitiers Communauté Urbaine,LUSIGNAN,8605C
Limoges Métropole,Beaubreuil,8702C
Communauté d'agglomération Val d'Yerres Val de Seine,Réseau de chaleur Vigneux-sur-Seine - Montgeron,9109C
SIOM de la Vallée de Chevreuse,réseau de chaleur urbain du SIOM de la VC,9119C
EPT Paris Terres d'Envol,Tremblay Géothermie (TGéo),9314C
"Syndicat intercommunal géothermie à Chevilly-Larue, L'Haÿ-les-Roses, Villejuif (Sygéo)","Réseau de géothermie de Chevilly-Larue, L'Haÿ-les-Roses et Villejuif",9415C
